type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
w,,,ThursdayDHWState,Donnerstag Warmwasserzustand,,,b509,0e4d00,onoff,,UCH,0=off;1=on,,Donnerstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,FridayDHWState,Freitag Warmwasserzustand,,,b509,0d4e00,onoff,,UCH,0=off;1=on,,Freitag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,FridayDHWState,Freitag Warmwasserzustand,,,b509,0e4e00,onoff,,UCH,0=off;1=on,,Freitag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,SaturdayDHWState,Samstag Warmwasserzustand,,,b509,0d4f00,onoff,,UCH,0=off;1=on,,Samstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,SaturdayDHWState,Samstag Warmwasserzustand,,,b509,0e4f00,onoff,,UCH,0=off;1=on,,Samstag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,SundayDHWState,Sonntag Warmwasserzustand,,,b509,0d5000,onoff,,UCH,0=off;1=on,,Sonntag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
w,,,SundayDHWState,Sonntag Warmwasserzustand,,,b509,0e5000,onoff,,UCH,0=off;1=on,,Sonntag Warmwasserzustand,onoff_1,,UCH,0=off;1=on,,,onoff_2,,UCH,0=off;1=on,,,onoff_3,,UCH,0=off;1=on,,,onoff_4,,UCH,0=off;1=on,,,onoff_5,,UCH,0=off;1=on,,,onoff_6,,UCH,0=off;1=on,,
r,,,MondayRecirculationTime,Montag Umluftzeit,,,b509,0d7a00,ttm,,TTM,,,Montag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,MondayRecirculationTime,Montag Umluftzeit,,,b509,0e7a00,ttm,,TTM,,,Montag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,TuesdayRecirculationTime,Dienstag Umluftzeit,,,b509,0d7b00,ttm,,TTM,,,Dienstag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
w,,install,TuesdayRecirculationTime,Dienstag Umluftzeit,,,b509,0e7b00,ttm,,TTM,,,Dienstag Umluftzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
r,,,WednesdayRecirculationTime,Mittwoch Umlaufzeit,,,b509,0d7c00,ttm,,TTM,,,Mittwoch Umlaufzeit,ttm_1,,TTM,,,,ttm_2,,TTM,,,,ttm_3,,TTM,,,,ttm_4,,TTM,,,,ttm_5,,TTM,,,,ttm_6,,TTM,,,
